zipcode,counts,city,,latitude,longitude
99201,16,Spokane,Washington,47.663945,-117.43185
99217,12,Spokane,Washington,47.707542,-117.33776
99021,9,Mead,Washington,47.81108,-117.22306
99037,8,Spokane Valley,Washington,47.643346,-117.19993
99202,7,Spokane,Washington,47.656692,-117.37899
99206,7,Spokane Valley,Washington,47.646994,-117.25912
99001,5,Airway Heights,Washington,47.642922,-117.59149
99003,4,Chattaroy,Washington,47.921687,-117.29378
99004,3,Cheney,Washington,47.466974,-117.60575
99016,2,Greenacres,Washington,47.648693,-117.15116
99005,2,Colbert,Washington,47.844289,-117.37274
99019,1,Liberty Lake,Washington,47.656171,-117.08628
99218,1,Spokane,Washington,47.751674,-117.4124
99036,1,Valleyford,Washington,47.52507,-117.27054
99203,1,Spokane,Washington,47.629091,-117.40636
99204,1,Spokane,Washington,47.648941,-117.43174
99205,1,Spokane,Washington,47.69399,-117.43979
99031,1,Spangle,Washington,47.432691,-117.37449
99207,1,Spokane,Washington,47.693741,-117.38829
99208,1,Spokane,Washington,47.740491,-117.43916
99212,1,Spokane Valley,Washington,47.668926,-117.30668
99216,1,Spokane Valley,Washington,47.665819,-117.21699
99030,1,Rockford,Washington,47.463725,-117.11319
99223,1,Spokane,Washington,47.614744,-117.35892
99018,1,Latah,Washington,47.277842,-117.13639
99224,1,Spokane,Washington,47.632573,-117.49326
99027,1,Otis Orchards,Washington,47.703698,-117.12007
99025,1,Newman Lake,Washington,47.751434,-117.06934
99023,1,Mica,Washington,47.554592,-117.18352
99022,1,Medical Lake,Washington,47.583754,-117.68812
99006,1,Deer Park,Washington,47.966471,-117.48145
99009,1,Elk,Washington,48.041663,-117.24891
99011,1,Fairchild Air Force Base,Washington,47.595572,-117.67344
99012,1,Fairfield,Washington,47.383651,-117.18568
99020,1,Marshall,Washington,47.563191,-117.4959
99039,1,Waverly,Washington,47.329704,-117.244981
